year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,16,10,17,17,12,13,7,11,11,12,8,11,145
2011,11,14,9,13,18,8,13,11,12,13,10,10,142
2012,20,3,10,22,17,16,22,10,10,19,26,26,201
2013,10,15,14,17,20,21,13,10,23,16,11,10,180
2014,18,13,22,13,15,14,16,17,15,17,9,13,182
2015,11,12,16,19,14,12,15,21,14,22,13,14,183
2016,14,16,15,12,17,15,17,20,13,19,18,16,192
2017,24,22,29,20,24,18,18,12,19,17,13,11,227
2018,9,11,22,16,20,17,9,19,17,19,13,17,189
2019,17,15,13,15,21,11,14,11,17,18,16,8,176
2020,14,14,13,16,19,22,14,18,13,17,24,13,197
2021,13,21,18,22,28,24,12,22,19,13,21,26,239
2022,20,19,20,16,28,13,23,21,22,22,18,15,237
2023,13,17,17,24,20,17,15,25,11,12,13,24,208
