year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,0,0,0,1,2,5,7,1,5,6,3,3,33
2011,1,4,2,4,4,5,3,2,5,8,2,3,43
2012,9,4,6,5,5,13,7,7,5,7,4,4,76
2013,3,4,1,2,3,2,0,3,5,3,1,6,33
2014,2,2,3,1,2,5,1,1,5,4,5,2,33
2015,2,0,4,1,3,0,5,5,2,4,6,1,33
2016,2,2,3,4,4,6,1,4,0,2,3,1,32
2017,1,2,2,2,2,4,4,4,5,2,2,2,32
2018,3,2,1,0,3,2,1,1,1,3,3,2,22
2019,2,3,2,3,2,2,0,0,1,1,3,0,19
2020,3,1,1,0,1,3,6,4,2,4,0,1,26
2021,3,1,2,1,2,0,2,1,2,1,3,3,21
2022,1,0,3,2,4,4,3,2,2,1,0,0,22
2023,0,1,1,1,1,2,4,2,2,2,2,3,21
