year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,1,5,1,3,7,7,5,11,2,10,3,3,58
2011,0,3,4,1,6,6,4,7,3,4,3,1,42
2012,4,3,4,3,1,4,5,5,4,5,4,3,45
2013,1,3,6,1,3,0,4,1,3,0,2,1,25
2014,2,0,3,3,7,2,8,2,5,5,5,3,45
2015,3,1,3,5,3,5,4,7,5,5,3,3,47
2016,2,1,0,0,2,2,1,9,4,1,2,1,25
2017,1,2,4,2,3,5,8,4,2,0,1,1,33
2018,0,1,3,2,2,0,4,3,7,3,4,0,29
2019,2,0,3,4,3,3,3,1,3,1,1,0,24
2020,0,0,0,3,1,3,7,6,3,2,0,2,27
2021,3,1,2,1,2,3,1,5,1,1,2,0,22
2022,1,1,0,0,1,5,3,8,3,7,2,4,35
2023,2,1,1,1,4,6,0,5,0,0,3,1,24
