year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,3,0,2,2,1,2,2,1,4,1,4,2,24
2011,1,1,0,1,2,2,1,3,3,6,1,0,21
2012,5,0,1,1,6,5,3,3,6,1,1,3,35
2013,1,2,0,5,2,1,1,2,4,1,3,1,23
2014,1,0,0,1,0,1,2,0,1,1,1,0,8
2015,2,0,0,2,2,2,3,2,2,1,2,0,18
2016,2,1,3,2,4,3,2,4,3,1,1,0,26
2017,2,1,2,0,0,1,1,3,4,1,3,1,19
2018,0,1,0,2,1,3,3,3,2,1,3,3,22
2019,0,0,1,0,1,2,0,5,1,1,1,0,12
2020,0,0,0,1,0,4,7,3,2,2,2,0,21
2021,1,2,1,1,4,0,4,8,3,2,4,1,31
2022,1,1,1,3,3,5,4,4,4,2,2,1,31
2023,0,1,0,2,7,3,3,3,0,4,1,1,25
