year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,0,2,0,4,0,1,2,2,3,4,5,0,23
2011,1,1,0,3,1,3,2,4,9,5,12,2,43
2012,1,4,7,6,2,4,5,8,5,6,9,2,59
2013,2,1,5,2,3,2,2,3,4,6,8,2,40
2014,1,1,0,4,4,4,1,3,3,3,8,2,34
2015,1,1,1,2,5,4,4,5,4,1,2,2,32
2016,2,2,0,3,5,2,4,2,3,1,1,0,25
2017,1,1,2,3,1,2,4,2,2,2,0,0,20
2018,0,0,0,2,0,3,0,1,5,4,2,0,17
2019,0,0,2,2,3,2,3,6,4,1,0,2,25
2020,1,0,0,0,4,2,3,5,1,3,3,0,22
2021,1,1,1,2,0,2,1,4,2,0,1,0,15
2022,0,2,0,0,1,2,1,1,2,2,1,0,12
2023,0,0,0,1,1,1,3,0,1,4,3,0,14
