year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,6,1,4,1,1,0,5,2,0,1,4,1,26
2011,2,2,2,2,3,1,2,2,2,3,1,2,24
2012,2,1,3,1,3,3,2,3,2,3,1,2,26
2013,2,1,0,0,3,3,0,2,2,1,2,3,19
2014,2,0,2,2,2,1,3,0,1,2,3,2,20
2015,0,0,2,0,2,3,1,1,0,0,1,0,10
2016,0,0,0,3,0,0,3,1,1,0,0,2,10
2017,2,0,2,0,2,0,0,0,0,1,0,0,7
2018,1,0,0,0,0,1,0,1,1,0,1,0,5
2019,1,2,1,0,1,1,0,0,0,1,2,0,9
2020,2,1,0,0,0,1,0,1,2,0,1,3,11
2021,0,0,2,0,4,2,1,1,3,2,4,1,20
2022,2,2,0,3,2,1,3,4,2,2,2,0,23
2023,1,2,0,2,1,1,0,2,2,1,2,0,14
