year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,2,0,0,2,2,4,0,0,4,3,1,5,23
2011,4,0,1,2,2,2,2,5,2,2,3,3,28
2012,1,0,0,2,1,1,2,2,1,1,1,1,13
2013,1,0,0,1,3,1,1,2,0,1,0,0,10
2014,1,0,2,2,0,2,1,0,1,1,0,1,11
2015,0,1,1,2,1,2,0,1,0,0,0,1,9
2016,2,0,1,0,1,3,3,2,3,3,2,0,20
2017,1,1,0,0,2,3,3,1,2,1,1,3,18
2018,1,0,3,2,1,1,3,1,1,1,0,1,15
2019,0,0,2,1,1,1,0,0,0,1,1,1,8
2020,0,0,1,0,2,0,1,1,2,1,1,0,9
2021,0,0,1,1,2,2,4,1,3,1,1,2,18
2022,0,0,1,3,1,1,1,5,0,3,1,0,16
2023,1,0,0,1,2,2,1,1,3,1,0,1,13
