year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,11,7,12,5,16,16,7,6,8,8,7,6,109
2011,7,6,4,8,7,3,15,5,3,16,9,9,92
2012,5,5,12,4,6,5,3,8,5,9,2,5,69
2013,1,2,8,3,5,4,8,6,7,6,4,0,54
2014,2,3,7,2,3,3,9,1,5,10,4,4,53
2015,1,1,6,2,3,7,4,4,3,4,6,3,44
2016,4,5,4,5,4,4,6,3,4,8,5,6,58
2017,2,5,3,8,3,2,5,1,6,8,3,7,53
2018,6,7,3,5,5,2,5,1,3,4,4,3,48
2019,1,1,3,1,5,1,4,4,7,2,2,8,39
2020,3,2,2,5,2,3,7,3,3,5,2,3,40
2021,2,4,4,2,6,4,8,2,9,1,5,3,50
2022,3,7,6,6,5,3,9,7,5,8,3,4,66
2023,3,4,5,6,5,2,1,5,1,2,3,4,41
