year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,26,16,8,16,17,18,10,13,12,17,11,8,172
2011,7,8,7,13,6,15,15,10,14,16,17,10,138
2012,11,14,10,13,14,12,14,6,7,14,12,8,135
2013,9,9,7,7,11,18,12,14,15,6,12,9,129
2014,9,3,7,8,11,15,10,9,6,18,9,12,117
2015,15,7,6,5,15,10,13,10,8,12,10,15,126
2016,7,9,11,13,14,12,12,6,20,12,13,7,136
2017,6,8,8,13,16,7,10,13,10,19,7,9,126
2018,5,7,5,7,7,7,11,7,10,17,6,9,98
2019,9,7,9,5,19,7,13,10,11,4,8,5,107
2020,4,10,9,11,11,10,11,11,11,16,7,16,127
2021,11,10,14,11,18,15,18,11,11,22,9,9,159
2022,14,11,19,15,7,14,20,16,16,12,13,7,164
2023,13,7,7,16,19,17,16,23,21,7,7,9,162
