year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,1,3,1,6,5,3,3,3,6,2,2,5,40
2011,4,3,3,2,3,4,4,9,5,1,5,2,45
2012,5,4,0,2,2,7,3,3,3,4,4,4,41
2013,6,2,6,3,7,7,6,4,6,2,4,4,57
2014,2,4,6,4,1,4,11,3,3,4,5,2,49
2015,2,1,6,7,7,11,11,9,7,4,8,5,78
2016,1,5,7,8,9,3,7,9,7,1,2,3,62
2017,0,0,7,3,3,7,5,2,9,10,5,7,58
2018,4,2,1,5,7,7,2,6,2,5,6,3,50
2019,6,5,8,1,3,9,6,7,5,2,2,3,57
2020,5,3,3,2,6,7,8,3,5,10,8,1,61
2021,1,4,4,2,9,5,3,5,4,4,5,5,51
2022,9,3,6,5,4,4,7,10,7,12,7,8,82
2023,2,6,6,6,7,8,7,5,9,9,2,6,73
