year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,7,6,8,5,17,5,6,8,6,8,10,9,95
2011,5,2,7,5,6,4,8,2,2,6,5,6,58
2012,5,3,9,6,12,7,2,7,5,3,3,3,65
2013,4,0,4,2,2,4,2,2,0,3,3,1,27
2014,1,1,0,3,1,2,0,3,5,1,4,1,22
2015,1,1,1,1,1,1,5,7,6,4,3,2,33
2016,1,1,6,2,6,4,3,3,2,4,3,1,36
2017,3,7,3,5,3,5,5,6,6,4,4,4,55
2018,6,3,5,4,4,6,2,4,4,4,5,1,48
2019,6,2,8,10,1,5,1,7,3,1,5,9,58
2020,2,2,5,5,5,11,8,10,4,9,9,2,72
2021,5,5,7,9,12,7,9,7,3,11,6,5,86
2022,2,6,2,5,4,6,4,5,6,3,9,5,57
2023,5,5,3,7,4,2,5,4,9,3,5,5,57
