year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,42,35,31,23,27,37,22,26,32,32,31,12,350
2011,16,23,11,15,16,17,17,15,10,16,12,26,194
2012,33,17,27,23,14,29,19,27,15,20,15,18,257
2013,19,16,14,24,25,14,17,15,12,21,22,20,219
2014,16,16,18,15,16,14,18,23,13,19,16,16,200
2015,17,19,23,19,30,16,17,19,12,18,9,15,214
2016,29,20,32,30,27,29,22,26,20,27,24,20,306
2017,25,29,30,22,29,25,30,24,24,19,31,38,326
2018,35,34,39,39,33,29,27,28,38,38,33,51,424
2019,27,36,58,44,33,25,33,31,44,23,47,40,441
2020,55,36,48,35,37,69,44,48,40,57,44,49,562
2021,44,50,64,56,45,48,47,47,36,57,41,49,584
2022,51,44,54,49,45,33,28,35,27,25,32,38,461
2023,29,30,36,25,20,24,24,18,7,28,24,21,286
