year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,8,2,5,10,14,5,12,6,4,7,5,3,81
2011,2,0,2,6,4,5,11,2,4,6,3,8,53
2012,5,4,1,2,1,8,4,11,6,5,5,5,57
2013,1,4,7,2,2,6,4,9,4,3,7,1,50
2014,1,3,1,3,3,5,4,5,3,3,5,4,40
2015,2,6,8,3,5,5,2,4,2,2,3,5,47
2016,6,0,3,8,6,2,5,2,2,4,7,3,48
2017,2,7,3,5,6,8,8,4,3,3,3,0,52
2018,3,3,3,4,4,2,4,2,7,7,4,2,45
2019,3,2,5,4,5,10,3,9,6,4,4,4,59
2020,2,2,4,0,4,0,4,4,4,1,3,5,33
2021,3,3,1,2,10,4,4,9,4,2,3,3,48
2022,1,5,3,3,6,5,8,9,11,5,1,6,63
2023,2,3,0,0,2,3,10,7,10,3,0,3,43
