year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,11,19,22,22,16,8,24,22,20,19,17,16,216
2011,10,11,11,13,21,18,24,16,25,14,21,15,199
2012,14,15,16,15,19,15,18,14,18,12,14,20,190
2013,16,3,10,8,17,18,21,22,20,27,23,9,194
2014,4,3,9,7,4,5,5,5,7,3,3,3,58
2015,6,9,0,6,9,5,5,2,3,3,4,5,57
2016,0,3,6,6,9,7,5,4,12,7,5,3,67
2017,6,2,3,4,4,6,9,8,5,2,8,12,69
2018,4,4,5,8,9,7,5,6,3,3,4,3,61
2019,2,5,2,4,6,3,5,8,5,6,5,4,55
2020,2,9,5,5,8,9,7,3,7,9,2,7,73
2021,4,3,3,9,11,6,7,7,2,10,7,4,73
2022,7,8,4,3,6,6,9,10,2,9,4,10,78
2023,6,2,3,4,6,14,7,9,8,6,2,5,72
