year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,14,17,20,13,24,20,12,18,16,25,8,10,197
2011,13,5,17,10,16,13,14,20,17,20,13,12,170
2012,7,14,16,16,22,18,15,16,12,11,18,22,187
2013,11,6,9,9,16,10,17,20,17,13,20,6,154
2014,5,12,10,9,16,25,15,17,15,8,4,12,148
2015,5,6,4,13,13,22,15,25,11,16,12,5,147
2016,8,10,12,31,13,14,13,20,19,18,15,16,189
2017,17,13,20,24,27,19,15,18,23,19,25,15,235
2018,9,8,19,16,24,16,21,37,34,20,12,14,230
2019,20,14,16,13,20,15,16,14,15,15,12,16,186
2020,15,13,11,8,28,32,41,32,24,21,32,10,267
2021,14,20,23,27,31,27,37,27,26,28,18,18,296
2022,6,7,7,5,10,7,12,9,4,13,10,4,94
2023,13,3,5,7,6,7,4,12,8,5,4,3,77
