year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,18,5,9,13,14,13,17,11,12,19,12,11,154
2011,12,12,7,13,11,12,24,11,14,12,14,15,157
2012,10,8,12,14,15,18,21,18,13,8,19,13,169
2013,13,14,12,6,13,15,10,16,12,9,12,14,146
2014,11,3,5,13,7,7,21,11,9,12,9,9,117
2015,8,3,5,8,18,11,12,15,12,13,11,12,128
2016,10,6,11,9,8,12,8,7,10,13,3,9,106
2017,9,4,10,7,1,4,8,7,12,10,8,7,87
2018,7,9,6,9,3,12,9,18,15,8,5,7,108
2019,8,7,6,8,15,11,8,11,8,8,6,7,103
2020,3,5,5,9,8,5,8,18,15,6,13,9,104
2021,5,5,2,14,17,13,17,21,15,22,12,16,159
2022,8,11,13,10,12,11,20,16,11,11,7,10,140
2023,4,12,7,8,16,14,13,17,10,7,5,9,122
