year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,6,1,2,6,9,9,5,8,5,10,2,5,68
2011,4,3,2,5,3,6,5,4,3,3,1,3,42
2012,2,3,2,5,1,1,4,2,4,8,2,5,39
2013,2,2,4,5,8,7,7,13,8,5,4,5,70
2014,3,8,5,3,3,3,3,3,1,3,3,3,41
2015,4,4,3,2,5,11,3,4,1,5,5,3,50
2016,1,4,2,5,0,5,3,2,2,4,1,4,33
2017,2,3,1,6,4,5,2,4,5,0,3,1,36
2018,4,5,3,3,6,6,8,4,6,3,6,5,59
2019,4,1,1,1,4,9,9,5,4,6,0,1,45
2020,3,4,9,5,5,10,9,9,10,4,5,7,80
2021,5,5,3,8,7,11,8,8,8,5,3,9,80
2022,6,10,12,8,15,18,19,12,11,7,14,10,142
2023,11,5,9,10,11,11,10,9,10,6,5,5,102
