year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,3,6,7,12,16,17,12,17,12,11,10,10,133
2011,9,8,6,12,12,12,18,13,13,9,8,14,134
2012,9,6,12,10,15,11,12,15,17,15,13,6,141
2013,9,5,5,5,17,12,14,17,15,7,13,13,132
2014,9,6,12,10,12,10,17,26,8,12,10,8,140
2015,11,4,17,15,11,14,13,18,18,12,9,6,148
2016,8,7,9,14,15,17,21,17,21,15,10,10,164
2017,12,10,12,17,19,23,27,27,10,16,18,13,204
2018,16,9,13,18,20,29,16,18,21,19,8,16,203
2019,4,9,7,11,14,14,20,28,14,14,18,11,164
2020,15,12,12,12,18,18,19,22,15,26,19,19,207
2021,14,9,8,16,15,25,24,18,21,30,18,17,215
2022,13,9,14,21,21,23,21,22,21,28,14,20,227
2023,12,10,9,23,17,19,22,14,23,20,7,8,184
