year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,6,0,3,5,1,1,3,2,0,2,1,0,24
2011,1,1,1,0,3,1,3,6,3,1,1,0,21
2012,2,3,4,1,2,3,1,4,7,2,5,1,35
2013,1,1,1,5,4,3,4,5,4,0,4,1,33
2014,0,1,1,1,3,2,2,0,1,3,3,0,17
2015,2,0,1,0,6,4,6,8,1,1,5,2,36
2016,3,2,5,2,0,2,2,3,3,4,6,2,34
2017,0,1,1,1,2,4,1,5,3,2,4,0,24
2018,0,0,0,0,6,2,2,2,2,2,0,1,17
2019,1,1,0,3,2,2,0,7,3,2,2,0,23
2020,3,1,0,1,4,4,2,8,1,4,1,4,33
2021,0,1,1,0,4,2,4,4,1,2,2,2,23
2022,3,2,3,2,6,3,3,3,0,6,1,1,33
2023,1,0,1,2,0,1,2,1,3,4,0,3,18
