year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,9,10,11,10,14,8,10,15,10,12,11,7,127
2011,8,5,4,9,13,6,18,16,16,13,7,11,126
2012,8,8,10,13,16,18,14,10,10,7,12,13,139
2013,13,6,11,15,9,8,5,15,10,8,15,6,121
2014,9,3,3,9,6,7,15,14,9,12,4,6,97
2015,8,3,5,8,8,9,6,3,5,2,4,5,66
2016,7,3,9,5,9,8,12,3,9,7,9,5,86
2017,8,6,12,15,10,11,7,8,11,7,8,4,107
2018,7,10,2,8,8,11,5,4,11,4,6,11,87
2019,4,12,7,5,9,8,12,7,9,4,5,8,90
2020,4,3,5,1,6,11,8,5,5,5,4,10,67
2021,4,4,4,9,7,5,2,3,4,7,7,9,65
2022,6,5,11,11,5,13,14,16,7,13,3,4,108
2023,10,13,9,12,10,8,10,9,17,10,9,8,125
