year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,4,3,7,3,6,5,13,8,9,5,4,5,72
2011,0,2,0,8,6,5,10,16,10,6,4,12,79
2012,5,5,5,11,6,13,8,6,7,9,3,6,84
2013,4,3,8,7,6,10,2,10,7,11,3,0,71
2014,6,2,3,9,8,9,12,7,4,8,2,1,71
2015,1,3,4,4,7,10,11,13,7,11,2,4,77
2016,2,7,6,3,7,5,17,11,7,6,8,2,81
2017,1,4,4,4,12,7,9,10,9,7,4,8,79
2018,5,2,1,7,5,11,11,12,10,8,6,11,89
2019,5,1,1,5,8,10,7,8,5,6,2,2,60
2020,1,1,6,4,8,14,13,12,9,4,6,7,85
2021,9,5,6,5,7,8,9,3,11,11,10,2,86
2022,1,1,7,4,3,5,11,11,12,9,5,5,74
2023,6,3,8,3,10,7,10,10,8,13,4,13,95
