year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,2,0,3,5,2,3,5,6,3,5,4,3,41
2011,5,4,8,5,5,6,5,8,7,4,2,4,63
2012,4,2,5,3,3,5,3,5,5,8,2,4,49
2013,0,2,3,3,0,3,3,5,2,3,0,1,25
2014,3,0,1,2,6,4,3,2,4,3,1,3,32
2015,0,1,2,3,3,4,2,2,3,3,3,0,26
2016,3,0,3,2,3,3,2,1,3,4,4,2,30
2017,2,1,2,0,5,4,1,5,2,2,3,3,30
2018,2,1,1,4,1,0,1,5,4,4,1,3,27
2019,1,1,1,0,1,1,3,2,0,0,2,4,16
2020,1,0,1,1,6,5,5,5,7,6,0,4,41
2021,2,3,1,7,4,4,2,4,4,8,3,3,45
2022,4,4,4,5,6,1,3,3,1,2,5,4,42
2023,0,4,3,4,3,2,2,3,3,4,2,1,31
