year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,11,9,4,14,22,15,12,12,10,20,13,11,153
2011,17,7,10,13,18,11,9,13,7,11,8,4,128
2012,10,8,11,8,8,11,11,9,11,15,8,9,119
2013,8,12,12,8,7,6,14,13,11,9,9,9,118
2014,9,9,8,12,11,10,8,14,6,11,11,2,111
2015,10,15,13,12,16,13,12,5,15,13,6,8,138
2016,11,8,11,12,11,11,7,11,17,8,13,13,133
2017,6,9,17,14,16,10,13,11,16,8,11,7,138
2018,5,10,13,12,10,17,12,12,11,15,16,12,145
2019,9,8,15,6,8,6,11,6,8,9,12,9,107
2020,12,19,17,16,24,23,30,43,31,14,21,13,263
2021,17,12,17,26,6,25,24,15,18,24,21,20,225
2022,23,15,28,20,21,13,35,17,21,45,10,19,267
2023,19,17,19,13,21,24,27,22,19,28,23,31,263
